Column1,Column2,Column3
corn,คาร์โบไฮเดรตราคาถูก ย่อยยาก และอาจเป็นสารก่อภูมิแพ้ในสัตว์บางตัว,Warning
corn gluten meal,โปรตีนสกัดจากข้าวโพด ใช้เพิ่มตัวเลขโปรตีนแต่ร่างกายสัตว์นำไปใช้ได้น้อย,Warning
wheat,คาร์โบไฮเดรตที่สัตว์เลี้ยงบางตัวอาจมีอาการแพ้กลูเตน (Gluten Intolerance),Warning
soy,โปรตีนพืชราคาถูก อาจขัดขวางการดูดซึมสารอาหารบางชนิดและก่อภูมิแพ้,Warning
artificial color,สีสังเคราะห์เพื่อความสวยงาม ไม่มีประโยชน์ทางโภชนาการและอาจก่อมะเร็ง,Warning
artificial flavor,สารแต่งกลิ่นสังเคราะห์ อาจทำให้สัตว์เลี้ยงติดรสชาติและเบื่ออาหารธรรมชาติ,Warning
carrageenan,สารทำให้เกิดเจลในอาหารเปียก อาจทำให้ลำไส้อักเสบในสัตว์บางตัว,Warning
salt,เกลือ เพิ่มความน่ากิน หากมีปริมาณมากเกินไปจะส่งผลเสียต่อไต,Warning
bha,สารกันเสียสังเคราะห์ ถือเป็นสารก่อมะเร็งหากสะสมในร่างกายเป็นเวลานาน,Danger
bht,สารกันเสียสังเคราะห์ เป็นพิษต่อตับและระบบสืบพันธุ์เมื่อสะสมในร่างกาย,Danger
ethoxyquin,สารกันบูดเคมีรุนแรง (มักพบในป่นปลา) เป็นพิษต่อตับและเป็นสารก่อมะเร็ง,Danger
propylene glycol,สารรักษาความชื้นในอาหารเม็ดนิ่ม เป็นพิษรุนแรงต่อเม็ดเลือดแดงของแมว,Danger
xylitol,สารให้ความหวานแทนน้ำตาล เป็นพิษรุนแรง ทำให้ตับวายและน้ำตาลในเลือดตกกะทันหันในสุนัข,Danger
onion,ทำลายเม็ดเลือดแดงของสุนัขและแมว ทำให้เกิดภาวะโลหิตจางรุนแรง,Danger
garlic,มีสารทำลายเม็ดเลือดแดง คล้ายหัวหอม เป็นพิษต่อสัตว์เลี้ยง,Danger
grape,เป็นพิษรุนแรงต่อสุนัข ทำให้เกิดภาวะไตวายเฉียบพลัน,Danger
raisin,ลูกเกด เป็นพิษรุนแรงต่อสุนัข ทำให้เกิดภาวะไตวายเฉียบพลัน,Danger
chocolate,มีสาร Theobromine ที่สัตว์เลี้ยงขับออกไม่ได้ ทำให้หัวใจเต้นผิดจังหวะและชัก,Danger
macadamia,ถั่วแมคคาเดเมีย เป็นพิษต่อระบบประสาทของสุนัข ทำให้กล้ามเนื้ออ่อนแรง,Danger
menadione,วิตามินเคสังเคราะห์ (Vitamin K3) ราคาถูกแต่อาจเป็นพิษต่อเซลล์และตับของสัตว์,Danger
turkey,แหล่งโปรตีนทางเลือกที่ย่อยง่าย ไขมันต่ำ เหมาะสำหรับสัตว์เลี้ยงแพ้ไก่,Safe
duck,โปรตีนคุณภาพสูง อุดมด้วยธาตุเหล็กและวิตามินบี,Safe
venison,เนื้อกวาง แหล่งโปรตีนใหม่ (Novel Protein) ช่วยลดปัญหาภูมิแพ้อาหาร,Safe
pork,โปรตีนและกรดอะมิโนสูง แต่ควรควบคุมปริมาณไขมัน,Safe
potato,คาร์โบไฮเดรตปราศจากกลูเตน ให้พลังงานและย่อยง่าย,Safe
sweet potato,คาร์โบไฮเดรตเชิงซ้อน มีวิตามินเอและไฟเบอร์สูง ดีต่อลำไส้,Safe
carrots,เบต้าแคโรทีนสูง บำรุงสายตาและระบบภูมิคุ้มกัน,Safe
blueberries,สุดยอดสารต้านอนุมูลอิสระ ช่วยชะลอวัยและบำรุงสมอง,Safe
cranberries,ช่วยป้องกันการติดเชื้อในระบบทางเดินปัสสาวะของสุนัขและแมว,Safe
spinach,ผักโขม อุดมด้วยธาตุเหล็ก (แต่สัตว์เลี้ยงที่เป็นนิ่วควรหลีกเลี่ยง),Safe
chia seed,แหล่งโอเมก้า 3 จากพืช และมีไฟเบอร์สูง,Safe
sunflower oil,กรดไขมันโอเมก้า 6 บำรุงผิวหนังและเส้นขน,Safe
canola oil,แหล่งไขมันให้พลังงาน (ควรเป็นแบบสกัดเย็น),Safe
inulin,พรีไบโอติกส์ (Prebiotics) เป็นอาหารให้แบคทีเรียดีในลำไส้,Safe
lactobacillus,โพรไบโอติกส์ ช่วยปรับสมดุลระบบย่อยอาหารและภูมิคุ้มกัน,Safe
dried beet pulp,กากบีตแห้ง แหล่งไฟเบอร์ชั้นดี ช่วยให้ก้อนอุจจาระจับตัว,Safe
brewers rice,ปลายข้าว ข้าวหักที่เหลือจากโรงเบียร์ คาร์โบไฮเดรตคุณภาพต่ำ,Warning
animal fat,ไขมันสัตว์ที่ไม่ระบุชนิดชัดเจน อาจมาจากแหล่งที่ไม่สะอาด,Warning
meat meal,ป่นเนื้อสัตว์ที่ไม่ระบุชนิด เสี่ยงต่อการปนเปื้อนสูง,Warning
powdered cellulose,เซลลูโลสผงหรือเยื่อไม้สกัด ใช้เพิ่มกากใยแต่ไม่มีคุณค่าทางอาหาร,Warning
guar gum,สารทำให้หนืดในอาหารเปียก สัตว์บางตัวกินแล้วอาจมีแก๊สในกระเพาะ,Warning
titanium dioxide,สารฟอกสีขาวในอาหารสัตว์ ปัจจุบันหลายประเทศสั่งแบนเพราะอาจก่อมะเร็ง,Warning
sodium nitrite,สารคงสีแดงในเนื้อสัตว์ หากสะสมมากอาจเป็นสารก่อมะเร็ง,Danger
caffeine,คาเฟอีน เป็นพิษต่อระบบประสาทและหัวใจของสัตว์เลี้ยง ทำให้ชักหรือตายได้,Danger
alcohol,แอลกอฮอล์ ทำลายตับและสมองของสัตว์เลี้ยงอย่างรวดเร็ว,Danger
macadamia nuts,ถั่วแมคคาเดเมีย เป็นพิษต่อระบบประสาทสุนัข ทำให้ขาหลังอ่อนแรง,Danger
yeast dough,แป้งยีสต์ดิบ จะพองตัวในกระเพาะและสร้างแอลกอฮอล์จนสัตว์เลี้ยงช็อก,Danger
avocado,อโวคาโด มีสาร Persin เป็นพิษต่อสัตว์หลายชนิด ทำให้ท้องร่วงและอาเจียน,Danger
chives,กุยช่าย ตระกูลเดียวกับหัวหอม ทำลายเม็ดเลือดแดงของสุนัขและแมว,Danger
xylitol,สารให้ความหวานแทนน้ำตาล เป็นพิษรุนแรง ทำให้ตับวายและน้ำตาลในเลือดตกกะทันหัน,Danger
sorbitol,สารให้ความหวาน หากกินเยอะจะทำให้ท้องเสียรุนแรง,Warning
melamine,เมลามีน สารเคมีปนเปื้อนผิดกฎหมาย (เคยระบาดในจีน) ทำให้ไตวายเฉียบพลัน,Danger
